default_name,version,is_default,rt_id_array,displayed_version_name
Misfit,"{`"pre(-| )N(ew )?52`"}",f,{1567},Pre New 52
Misfit,"{`"pre(-| )?52`"}",f,{1567},Pre New 52
Batman Who Laughs,"{`"New ?52`"}",t,{1568},New 52
Batman Who Laughs,{N-?52},t,{1568},New 52
Batman Who Laughs,"{`"Post(-| )52`"}",t,{1568},New 52
Batman Who Laughs,"{`"Prime(-| )Earth`"}",t,{1568},New 52
Batman Who Laughs,{Rebirth},t,{1568},New 52
Dawnbreaker,"{`"New ?52`"}",f,{1569},New 52
Dawnbreaker,{N-?52},f,{1569},New 52
Dawnbreaker,"{`"Post(-| )52`"}",f,{1569},New 52
Dawnbreaker,"{`"Prime(-| )Earth`"}",f,{1569},New 52
Dawnbreaker,{Rebirth},f,{1569},New 52
Dawnbreaker,{Batman},f,{1569},New 52
Dawnbreaker,"{`"Green Lantern`"}",f,{1569},New 52
Dawnbreaker,{DC},f,{1569},New 52
Dawnbreaker,"{`"Dark K?nights`"}",f,{1569},New 52
Devastator,{Batman},f,{1570},New 52
Devastator,"{`"Dark K?nights`"}",f,{1570},New 52
The Drowned,"{`"New ?52`"}",f,{1571},New 52
The Drowned,{N-?52},f,{1571},New 52
The Drowned,"{`"Post(-| )52`"}",f,{1571},New 52
The Drowned,"{`"Prime(-| )Earth`"}",f,{1571},New 52
The Drowned,{Rebirth},f,{1571},New 52
The Drowned,{Batman},f,{1571},New 52
The Drowned,"{`"Dark K?nights`"}",f,{1571},New 52
Merciless,"{`"New ?52`"}",f,{1572},New 52
Merciless,{N-?52},f,{1572},New 52
Merciless,"{`"Post(-| )52`"}",f,{1572},New 52
Merciless,"{`"Prime(-| )Earth`"}",f,{1572},New 52
Merciless,{Rebirth},f,{1572},New 52
Merciless,{Batman},f,{1572},New 52
Merciless,"{`"Dark K?nights`"}",f,{1572},New 52
Murder Machine,"{`"New ?52`"}",f,{1573},New 52
Murder Machine,{N-?52},f,{1573},New 52
Murder Machine,"{`"Post(-| )52`"}",f,{1573},New 52
Murder Machine,"{`"Prime(-| )Earth`"}",f,{1573},New 52
Murder Machine,{Rebirth},f,{1573},New 52
Murder Machine,"{`"Dark K?nights`"}",f,{1573},New 52
Red Death,"{`"New ?52`"}",f,{1574},New 52
Red Death,{N-?52},f,{1574},New 52
Red Death,"{`"Post(-| )52`"}",f,{1574},New 52
Red Death,"{`"Prime(-| )Earth`"}",f,{1574},New 52
Red Death,{Rebirth},f,{1574},New 52
Red Death,{Batman},f,{1574},New 52
Red Death,"{`"Dark K?nights`"}",f,{1574},New 52
Ant-Man,{comics?},t,{1986},616
Devastator,"{`"\\(DC`"}",f,{1570},New 52
Deathstroke,{PC},f,"{1578,21861}",Post-Crisis
Deathstroke,"{`"Post(-| )?C(risis)?`"}",f,"{1578,21861}",Post-Crisis
Deathstroke,"{`"New ?52`"}",f,"{1576,1577}",New 52 / Rebirth
Deathstroke,{N-?52},f,"{1576,1577}",New 52 / Rebirth
Deathstroke,"{`"Post(-| )52`"}",f,"{1576,1577}",New 52 / Rebirth
Gooey,{Kirby},f,{},Kirby
John Constantine,"{`"\\(DC( Comics)?\\)`"}",t,"{22129,1704}",DC
John Constantine,"{`"\\[DC( Comics)?\\]`"}",t,"{22129,1704}",DC
Kushala,{616},f,{22236},616
Kushala,"{`"Spirit Rider`"}",f,{22236},616
Freddy Freeman,"{Shazam,2019}",f,{6555},DCEU
Freddy Freeman,"{`"DC Extended Universe`"}",f,{6555},DCEU
Freddy Freeman,{DCEU},f,{6555},DCEU
Freddy Freeman,"{`"DC Cinematic Universe`"}",f,{6555},DCEU
Freddy Freeman,{DCCU},f,{6555},DCEU
Deathstroke Blue,"{`"Pre(-| )?Flashpoint`"}",t,{1579},""
Deathstroke Blue,"{`"New(-| )Earth`"}",t,{1579},""
Flash of China,"{`"New ?52`"}",t,{1580},Rebirth
Flash of China,{N-?52},t,{1580},Rebirth
Flash of China,"{`"Post(-| )52`"}",t,{1580},Rebirth
Flash of China,"{`"Prime(-| )Earth`"}",t,{1580},Rebirth
Flash of China,{Rebirth},t,{1580},Rebirth
Flash,{PC},f,{1583},Pre-Crisis
Flash,"{`"Pre(-| )?Crisis`"}",f,{1583},Pre-Crisis
Bart Allen,{PC},t,{1584},""
Kid Flash,{PC},t,{1584},""
Black Flash,{DC},t,{1585},""
Black Flash,{CW},f,{},CW Arrowverse
Mikoto Misaka,{Index(verse)?},t,{4451},Toaru Majutsu no Index
Mikoto Misaka,{TAMNI},t,{4451},Toaru Majutsu no Index
Flash,"{`"New ?52`"}",f,{1582},New 52 / Rebirth
Flash,{N-?52},f,{1582},New 52 / Rebirth
Flash,"{`"Post(-| )52`"}",f,{1582},New 52 / Rebirth
Flash,"{`"Prime(-| )Earth`"}",f,{1582},New 52 / Rebirth
Flash,{Rebirth},f,{1582},New 52 / Rebirth
Flash,"{`"Flash vs`"}",f,{1582},New 52 / Rebirth
Flash,"{`"vs.? Flash`"}",f,{1582},New 52 / Rebirth
Flash,"{`"(Could|is) Flash`"}",f,{1582},New 52 / Rebirth
Barry Allen,"{`"New ?52`"}",t,{1582},New 52 / Rebirth
Barry Allen,{N-?52},t,{1582},New 52 / Rebirth
Barry Allen,"{`"Post(-| )52`"}",t,{1582},New 52 / Rebirth
Barry Allen,"{`"Prime(-| )Earth`"}",t,{1582},New 52 / Rebirth
Barry Allen,{Rebirth},t,{1582},New 52 / Rebirth
Zoom,"{`"New(-| )?52`"}",f,{1587},New 52 / Rebirth
Zoom,{N-?52},f,{1587},New 52 / Rebirth
Zoom,"{`"Post(-| )52`"}",f,{1587},New 52 / Rebirth
Zoom,"{`"Prime(-| )Earth`"}",f,{1587},New 52 / Rebirth
Zoom,{Rebirth},f,{1587},New 52 / Rebirth
Zoom,"{`"Zoom vs.?`"}",f,{1587},New 52 / Rebirth
Zoom,"{`"vs.? Zoom`"}",f,{1587},New 52 / Rebirth
Zoom,"{`"Professor Zoom`"}",f,{1587},New 52 / Rebirth
Silver Surfer,{616},t,{2090},616
Silver Surfer,{Marvel},t,{2090},616
Ultimate Quicksilver,{1610},t,{2544},1610
Quicksilver,{1610},f,{2544},1610
Quicksilver,{Ultimates},f,{2544},1610
Quicksilver,"{`"Ultimate Universe`"}",f,{2544},1610
Wally West,{PC},f,{1589},Post-Crisis
Wally West,"{`"Post(-| )?C(risis)?`"}",f,{1589},Post-Crisis
Wally West,"{`"New(-| )Earth`"}",f,{1589},Post-Crisis
Wally West,"{`"Pre(-| )?Flashpoint`"}",f,{1589},Post-Crisis
Wally West,"{`"New(-| )?52`"}",f,{1590},New 52 / Rebirth
Wally West,{N-?52},f,{1590},New 52 / Rebirth
Wally West,"{`"Post(-| )52`"}",f,{1590},New 52 / Rebirth
Wally West,"{`"Prime(-| )Earth`"}",f,{1590},New 52 / Rebirth
Wally West,{Rebirth},f,{1590},New 52 / Rebirth
Wally West,{DC},t,"{1590,1589}",""
Wallace West,"{`"New(-| )?52`"}",f,{1591},New 52
Wallace West,{N-?52},f,{1591},New 52
Wallace West,"{`"Post(-| )52`"}",f,{1591},New 52
Deathstroke,"{`"New(-| )Earth`"}",f,"{1578,21861}",Post-Crisis
The Flash,"{`"New ?52`"}",f,{1582},New 52 / Rebirth
Reverse-Flash,{PC},f,{1588},Pre-Crisis
Reverse-Flash,"{`"Pre(-| )?Crisis`"}",f,{1588},Pre-Crisis
Reverse-Flash,"{`"Silver ?Age`"}",f,{1588},Pre-Crisis
Mary Bromfield,"{Shazam,2019}",f,{6555},DCEU
Mary Bromfield,"{`"DC Extended Universe`"}",f,{6555},DCEU
Mary Bromfield,{DCEU},f,{6555},DCEU
Mary Bromfield,"{`"DC Cinematic Universe`"}",f,{6555},DCEU
Mary Bromfield,{DCCU},f,{6555},DCEU
Wallace West,"{`"Prime(-| )Earth`"}",f,{1591},New 52
Wallace West,{Rebirth},f,{1591},New 52
Abra Kadabra,{Flash},t,{1592},""
Abra Kadabra,{Rogues},t,{1592},""
Black Racer,"{`"pre(-| )N(ew )?52`"}",t,{1593},Pre New 52
Black Racer,"{`"pre(-| )?52`"}",t,{1593},Pre New 52
Owen Mercer,{Flash},t,{1594},""
Owen Mercer,{Rogues},t,{1594},""
Captain Boomerang Jr,{Flash},t,{1594},""
Captain Boomerang Jr,{Rogues},t,{1594},""
Godspeed,{Flash},f,{1597},DC
Godspeed,{Rogues},f,{1597},DC
Godspeed,"{`"Barry Allen`"}",f,{1597},DC
Godspeed,"{`"Wally West`"}",f,{1597},DC
Godspeed,"{`"Eobard Thawne`"}",f,{1597},DC
Godspeed,"{`"Red Death`"}",f,{1597},DC
Godspeed,{DC},f,{1597},DC
Godspeed,"{`"August Heart`"}",f,{1597},DC
Gorilla Grodd,{PC},t,{1598},""
Gorilla Grodd,"{`"Post(-| )?C(risis)?`"}",t,{1598},""
Gorilla Grodd,"{`"New(-| )Earth`"}",t,{1598},""
Heat Wave,{PC},f,{1599},Post-Crisis
Heat Wave,"{`"Post(-| )?C(risis)?`"}",f,{1599},Post-Crisis
Heat Wave,"{`"New(-| )Earth`"}",f,{1599},Post-Crisis
Heat Wave,"{`"Mick Rory`"}",f,{1599},Post-Crisis
Heat Wave,"{`"Captain Cold`"}",f,{1599},Post-Crisis
Heat Wave,{Firefly},f,{1599},Post-Crisis
Heat Wave,{Arrowverse},f,{},CW Arrowverse
Heat Wave,"{`"Legends of Tomorrow’`"}",f,{},CW Arrowverse
Thaddeus Thawne,{PC},t,{1600},""
Thaddeus Thawne,"{`"Post(-| )?C(risis)?`"}",t,{1600},""
Thaddeus Thawne,"{`"New(-| )Earth`"}",t,{1600},""
Inertia,{PC},f,{1600},""
Inertia,"{`"Post(-| )?C(risis)?`"}",f,{1600},""
Inertia,"{`"New(-| )Earth`"}",f,{1600},""
Inertia,{Impulse},f,{1600},""
Pied Piper,{Rogues},f,{1602},""
Pied Piper,"{`"Hartley Rathaway`"}",f,{1602},""
Pied Piper,{Flash},f,{1602},""
Top,"{`"The Rogues`"}",f,{1603},DC
Top,"{`"Roscoe Dillon`"}",f,{1603},DC
Trickster,{Flash},f,{1604},DC
Trickster,{Rogues},f,{1604},DC
Trickster,"{`"James Jesse`"}",f,{1604},DC
Weather Wizard,{PC},t,{1605},Post-Crisis
Weather Wizard,"{`"Post(-| )?C(risis)?`"}",t,{1605},Post-Crisis
Weather Wizard,"{`"New(-| )Earth`"}",t,{1605},Post-Crisis
Weather Wizard,{Flash},t,{1605},Post-Crisis
Weather Wizard,{Rogues},t,{1605},Post-Crisis
Weather Wizard,"{`"Mark Mardon`"}",t,{1605},Post-Crisis
Weather Wizard,"{`"New(-| )?52`"}",f,{},New 52
Weather Wizard,{N-?52},f,{},New 52
Weather Wizard,"{`"Post(-| )52`"}",f,{},New 52
Weather Wizard,"{`"Prime(-| )Earth`"}",f,{},New 52
Weather Wizard,{Rebirth},f,{},New 52
Weather Wizard,"{`"Marco Mardon`"}",f,{},New 52
Hunter Zolomon,{DC},t,{1606},DC
Brick,"{`"Brick ((DC )?Post(-| )?Crisis)`"}",f,{1607},DC
Brick,"{`"Daniel Brickwell`"}",f,{1607},DC
Connor Hawke,{PC},t,{1608},DC
Connor Hawke,"{`"Post(-| )?C(risis)?`"}",t,{1608},DC
Captain Cold,{Flash},t,"{22526,1596,1595}",""
Captain Cold,{Rogues},t,"{22526,1596,1595}",""
Mirror Master,{Rogues},t,"{1601,22908}",""
Mirror Master,"{`"Evan McCulloch`"}",t,"{1601,22908}",""
Pedro Pena,"{Shazam,2019}",f,{6555},DCEU
Pedro Pena,"{`"DC Extended Universe`"}",f,{6555},DCEU
Pedro Pena,{DCEU},f,{6555},DCEU
Pedro Pena,"{`"DC Cinematic Universe`"}",f,{6555},DCEU
Pedro Pena,{DCCU},f,{6555},DCEU
Connor Hawke,"{`"New(-| )Earth`"}",t,{1608},DC
Constantine Drakon,{PC},t,{1609},DC
Constantine Drakon,"{`"Post(-| )?C(risis)?`"}",t,{1609},DC
Constantine Drakon,"{`"New(-| )Earth`"}",t,{1609},DC
Green Arrow,{PC},t,"{1610,1611}",DC
Green Arrow,"{`"Post(-| )?C(risis)?`"}",t,"{1610,1611}",DC
Green Arrow,"{`"New(-| )Earth`"}",t,"{1610,1611}",DC
Green Arrow,"{`"New(-| )?52`"}",t,"{1610,1611}",DC
Green Arrow,{N-?52},t,"{1610,1611}",DC
Green Arrow,"{`"Post(-| )52`"}",t,"{1610,1611}",DC
Green Arrow,"{`"Prime(-| )Earth`"}",t,"{1610,1611}",DC
Green Arrow,{Rebirth},t,"{1610,1611}",DC
Green Arrow,"{`"Comic Book Green Arrow`"}",t,"{1610,1611}",DC
Roy Harper,"{`"Post(-| )?Flashpoint`"}",t,{1612},DC
Roy Harper,{CW},f,{},CW Arrowverse
Roy Harper,{(Arrow)},f,{},CW Arrowverse
Death of the Endless,{DC},t,{1613},DC
Death of the Endless,{Vertigo},t,{1613},DC
Elaine Belloc,{DC},t,{1614},DC
Elaine Belloc,{Vertigo},t,{1614},DC
First of the Fallen,{DC},t,{1615},DC
First of the Fallen,{Vertigo},t,{1615},DC
First of the Fallen,{Hellraiser},t,{1615},DC
Lucifer Morningstar,{DC},t,{1616},DC
Lucifer Morningstar,{Vertigo},t,{1616},DC
Lucifer Morningstar,{Netflix},f,{},Lucifer 2018
Lucifer Morningstar,{2018},f,{},Lucifer 2018
Mazikeen,{Netflix},f,{},Lucifer 2018
Mazikeen,{2018},f,{},Lucifer 2018
Mazikeen,{DC},f,{1617},DC
Mazikeen,{Vertigo},f,{1617},DC
Michael Demiurgos,{DC},t,{1618},DC
Michael Demiurgos,{Vertigo},t,{1618},DC
Nekron,{DC},t,{1619},DC
Nekron,{PC},t,{1619},DC
Nekron,"{`"Post(-| )?C(risis)?`"}",t,{1619},DC
Nekron,"{`"New(-| )Earth`"}",t,{1619},DC
Alan Scott,{PC},f,{1620},Post-Crisis
Alan Scott,"{`"Post(-| )?C(risis)?`"}",f,{1620},Post-Crisis
Alan Scott,"{`"New(-| )Earth`"}",f,{1620},Post-Crisis
Alan Scott,{DC},t,{1620},DC
Atom Smasher,"{`"Al(bert)? Rothstein`"}",f,{1621},DC
Citizen Steel,{PC},t,{1623},DC
Citizen Steel,"{`"Post(-| )?C(risis)?`"}",t,{1623},DC
Citizen Steel,"{`"New(-| )Earth`"}",t,{1623},DC
Citizen Steel,{DC},t,{1623},DC
Citizen Steel,{CW},f,{},CW Arrowverse
Crimson Avenger,{PC},f,{1624},""
Crimson Avenger,"{`"Post(-| )?C(risis)?`"}",f,{1624},""
Crimson Avenger,"{`"New(-| )Earth`"}",f,{1624},""
Crimson Avenger,"{`"Jill Carlyle`"}",f,{1624},""
Damage,"{`"Grant Emerson`"}",f,{1625},DC
Hourman,{PC},f,{1626},DC
Hourman,"{`"Post(-| )?C(risis)?`"}",f,{1626},DC
Hourman,"{`"New(-| )Earth`"}",f,{1626},DC
Jesse Quick,{PC},f,{1627},Post-Crisis
Jesse Quick,"{`"Post(-| )?C(risis)?`"}",f,{1627},Post-Crisis
Jesse Quick,"{`"New(-| )Earth`"}",f,{1627},Post-Crisis
Judomaster,{PC},t,{1628},DC
Judomaster,"{`"Post(-| )?C(risis)?`"}",t,{1628},DC
Judomaster,"{`"New(-| )Earth`"}",t,{1628},DC
Judomaster,"{`"Justice Society Of America`"}",t,{1628},DC
Judomaster,{JSA},t,{1628},DC
Mister Terrific,"{`"(Pre|Post)(-| )?Flashpoint`"}",t,"{1629,1630}",DC
Mister Terrific,"{`"Justice Society Of America`"}",t,"{1629,1630}",DC
Lucifer Morningstar,"{`"\\(Lucifer\\)`"}",f,{},Lucifer 2018
Eugene Choi,"{Shazam,2019}",f,{6555},DCEU
Eugene Choi,"{`"DC Extended Universe`"}",f,{6555},DCEU
Eugene Choi,{DCEU},f,{6555},DCEU
Eugene Choi,"{`"DC Cinematic Universe`"}",f,{6555},DCEU
Eugene Choi,{DCCU},f,{6555},DCEU
Mister Terrific,{JSA},t,"{1629,1630}",DC
Sand,{PC},f,{1631},DC
Sand,"{`"Post(-| )?C(risis)?`"}",f,{1631},DC
Sand,"{`"New(-| )Earth`"}",f,{1631},DC
Sand,"{`"Justice Society Of America`"}",f,{1631},DC
Sand,{JSA},f,{1631},DC
Sand,"{`"Sanderson Hawkins`"}",f,{1631},DC
Spectre,"{`"Pre(-| )?Flashpoint`"}",f,{1632},DC
Spectre,"{`"Und?bound Spectre`"}",f,{1632},DC
Spectre,{Aztar},f,{1632},DC
Spectre,{DC},f,{1632},DC
Spectre,{Corrigan},f,{1632},DC
Spectre,"{`"vs.? Spectre`"}",f,{1632},DC
Spectre,"{`"Spectre vs.?`"}",f,{1632},DC
Spectre,{PC},f,{1632},DC
Spectre,"{`"Post(-| )?C(risis)?`"}",f,{1632},DC
Spectre,"{`"New(-| )Earth`"}",f,{1632},DC
Spectre,"{`"Pre(-| )?Crisis`"}",f,{1632},DC
Spectre,"{`"Hal Jordan`"}",f,{1632},DC
Spectre,{Asmodel},f,{1632},DC
Wildcat,"{Ted,Grant}",f,{1633},DC
Wildcat,"{`"Justice Society`"}",f,{1633},DC
Wildcat,{JSA},f,{1633},DC
Wildcat,{DCU?},f,{1633},DC
Johnny Sorrow,{PC},t,{1634},DC
Johnny Sorrow,"{`"Post(-| )?C(risis)?`"}",t,{1634},DC
Johnny Sorrow,"{`"New(-| )Earth`"}",t,{1634},DC
Johnny Sorrow,"{`"Justice Society`"}",t,{1634},DC
Johnny Sorrow,{JSA},t,{1634},DC
Johnny Sorrow,{DCU?},t,{1634},DC
Obsidian,"{`"pre(-| )N(ew ?)?52`"}",f,{1635},DC
Obsidian,"{`"pre(-| )?52`"}",f,{1635},DC
Obsidian,"{`"Justice Society`"}",f,{1635},DC
Obsidian,{JSA},f,{1635},DC
Obsidian,"{`"Todd Rice`"}",f,{1635},DC
Vandal Savage,{(Fl)?arrowverse},f,{},CW Arrowverse
Vandal Savage,{CW},f,{},CW Arrowverse
Vandal Savage,"{`"Young Justice`"}",f,{},Young Justice
Vandal Savage,{YJ},f,{},Young Justice
Animal Man,"{`"New(-| )?52`"}",t,"{1637,1638}",DC
Animal Man,{N-?52},t,"{1637,1638}",DC
Animal Man,"{`"Post(-| )52`"}",t,"{1637,1638}",DC
Animal Man,"{`"Prime(-| )Earth`"}",t,"{1637,1638}",DC
Animal Man,{Rebirth},t,"{1637,1638}",DC
Animal Man,{PC},t,"{1637,1638}",DC
Animal Man,"{`"Post(-| )?C(risis)?`"}",t,"{1637,1638}",DC
Animal Man,"{`"New(-| )Earth`"}",t,"{1637,1638}",DC
Ryan Choi,{PC},f,{1639},Post-Crisis
Ryan Choi,"{`"Post(-| )?C(risis)?`"}",f,{1639},Post-Crisis
Ryan Choi,"{`"New(-| )Earth`"}",f,{1639},Post-Crisis
Ryan Choi,"{`"New(-| )?52`"}",t,{1641},Rebirth
Ryan Choi,{N-?52},t,{1641},Rebirth
Ryan Choi,"{`"Post(-| )52`"}",t,{1641},Rebirth
Ryan Choi,"{`"Prime(-| )Earth`"}",t,{1641},Rebirth
Ryan Choi,{Rebirth},t,{1641},Rebirth
Aztek,{PC},f,{1640},Post-Crisis
Aztek,"{`"Post(-| )?C(risis)?`"}",f,{1640},Post-Crisis
Aztek,"{`"New(-| )Earth`"}",f,{1640},Post-Crisis
Aztek,{DC},f,{1640},Post-Crisis
Blue Beetle,{Ted},f,{1642},Ted Kord
Booster Gold,{PC},t,{1643},DC
Booster Gold,"{`"Post(-| )?C(risis)?`"}",t,{1643},DC
Booster Gold,"{`"New(-| )Earth`"}",t,{1643},DC
Captain Atom,{PC},t,"{1645,1644}",DC
Captain Atom,"{`"Post(-| )?C(risis)?`"}",t,"{1645,1644}",DC
Captain Atom,"{`"New(-| )Earth`"}",t,"{1645,1644}",DC
Captain Atom,"{`"New(-| )?52`"}",t,"{1645,1644}",DC
Captain Atom,{N-?52},t,"{1645,1644}",DC
Darla Dudley,"{Shazam,2019}",f,{6555},DCEU
Darla Dudley,"{`"DC Extended Universe`"}",f,{6555},DCEU
Darla Dudley,{DCEU},f,{6555},DCEU
Darla Dudley,"{`"DC Cinematic Universe`"}",f,{6555},DCEU
Darla Dudley,{DCCU},f,{6555},DCEU
Captain Atom,"{`"Post(-| )52`"}",t,"{1645,1644}",DC
Captain Atom,"{`"Prime(-| )Earth`"}",t,"{1645,1644}",DC
Captain Atom,{Rebirth},t,"{1645,1644}",DC
Cyborg,"{`"New(-| )?52`"}",f,{1646},New 52 / Rebirth
Cyborg,{N-?52},f,{1646},New 52 / Rebirth
Cyborg,"{`"Post(-| )52`"}",f,{1646},New 52 / Rebirth
Cyborg,"{`"Prime(-| )Earth`"}",f,{1646},New 52 / Rebirth
Cyborg,{Rebirth},f,{1646},New 52 / Rebirth
Shirai Kuroko,"{`"To ?aru`"}",t,{10797},Toaru Majutsu no Index
Vibe,"{`"Vibe \\(DC`"}",f,{1655},DC
Sam Alexander,{616},t,{2030},616
Hawkman,{PC},f,{},Post-Crisis
Hawkman,"{`"Post(-| )?C(risis)?`"}",f,{},Post-Crisis
Hawkman,"{`"New(-| )Earth`"}",f,{},Post-Crisis
Hawkman,"{`"New(-| )?52`"}",t,{1648},New 52
Hawkman,{N-?52},t,{1648},New 52
Hawkman,"{`"Post(-| )52`"}",t,{1648},New 52
Hawkman,"{`"Prime(-| )Earth`"}",t,{1648},New 52
Hawkman,{Rebirth},t,{1648},New 52
Killer Frost,"{`"New(-| )?52`"}",f,{1649},New 52
Killer Frost,{N-?52},f,{1649},New 52
Killer Frost,"{`"Post(-| )52`"}",f,{1649},New 52
Killer Frost,"{`"Prime(-| )Earth`"}",f,{1649},New 52
Killer Frost,{Rebirth},f,{1649},New 52
Plastic Man,"{`"New(-| )?52`"}",f,{1651},Rebirth
Plastic Man,{N-?52},f,{1651},Rebirth
Plastic Man,"{`"Post(-| )52`"}",f,{1651},Rebirth
Plastic Man,"{`"Prime(-| )Earth`"}",f,{1651},Rebirth
Plastic Man,{Rebirth},f,{1651},Rebirth
Red Tornado,"{`"Young Justice`"}",f,{1008},Young Justice
Red Tornado,{CW},f,{},CW Arrowverse
Triumph,"{`"Triumph (DC)`"}",f,{1654},DC
Triumph,{PC},f,{1654},DC
Triumph,"{`"Post(-| )?C(risis)?`"}",f,{1654},DC
Triumph,"{`"New(-| )Earth`"}",f,{1654},DC
Vibe,"{`"Francisco Ramon`"}",f,{1655},DC
Vixen,{PC},t,{1656},DC
Vixen,"{`"Post(-| )?C(risis)?`"}",t,{1656},DC
Vixen,"{`"New(-| )Earth`"}",t,{1656},DC
Vixen,{JLU},f,{},DCAU
Vixen,"{`"New(-| )?52`"}",f,{},New 52
Vixen,{N-?52},f,{},New 52
Vixen,"{`"Post(-| )52`"}",f,{},New 52
Vixen,"{`"Prime(-| )Earth`"}",f,{},New 52
Vixen,{Rebirth},f,{},New 52
Amazo,{PC},f,{1657},Post-Crisis
Amazo,"{`"Post(-| )?C(risis)?`"}",f,{1657},Post-Crisis
Amazo,"{`"New(-| )Earth`"}",f,{1657},Post-Crisis
Black Adam,"{`"New(-| )?52`"}",f,{1622},New 52 / Rebirth
Black Adam,{N-?52},f,{1622},New 52 / Rebirth
Black Adam,"{`"Post(-| )52`"}",f,{1622},New 52 / Rebirth
Black Adam,"{`"Prime(-| )Earth`"}",f,{1622},New 52 / Rebirth
Black Adam,{Rebirth},f,{1622},New 52 / Rebirth
Pain,{Naruto},f,{3964},Naruto
Red Tornado,"{`"(DC( Comics)?)`"}",t,"{21451,1652}",DC
Shazam,"{`"movies? versions?`"}",f,{6554},DCEU
Shazam,{(movie)},f,{6554},DCEU
Shazam,"{`"New(-| )?52`"}",f,{1653},New 52
Shazam,{N-?52},f,{1653},New 52
Firestorm,{PC},f,{1647},DC
Firestorm,"{`"Post(-| )?C(risis)?`"}",f,{1647},DC
Firestorm,"{`"New(-| )Earth`"}",f,{1647},DC
Chunky Chicken,"{`"Power Rangers?`"}",t,{6556},Power Rangers
Despero,"{`"New(-| )?52`"}",f,{},New 52
Despero,{N-?52},f,{},New 52
Despero,"{`"Post(-| )52`"}",f,{},New 52
Despero,"{`"Prime(-| )Earth`"}",f,{},New 52
Despero,{Rebirth},f,{},New 52
Despero,{PC},t,{1659},Post-Crisis
Despero,"{`"Post(-| )?C(risis)?`"}",t,{1659},Post-Crisis
Despero,"{`"New(-| )Earth`"}",t,{1659},Post-Crisis
Maxwell Lord,{PC},t,{1660},DC
Maxwell Lord,"{`"Post(-| )?C(risis)?`"}",t,{1660},DC
Maxwell Lord,"{`"New(-| )Earth`"}",t,{1660},DC
Maxwell Lord,"{`"pre(-| )N(ew ?)?52`"}",t,{1660},DC
Maxwell Lord,"{`"pre(-| )?52`"}",t,{1660},DC
Owlman,"{`"Owlman (PC)`"}",f,{1661},""
Owlman,"{`"Owlman (Post(-| )?C(risis)?)`"}",f,{1661},""
Owlman,"{`"Owlman (New(-| )Earth)`"}",f,{1661},""
Owlman,{Antimatter},f,{1661},""
Paragon,"{`"Paragon (DC)`"}",f,{1662},DC
Paragon,"{`"Paragon (Post(-| )?C(risis)?)`"}",f,{1662},DC
Paragon,"{`"Paragon (New(-| )Earth)`"}",f,{1662},DC
Prometheus,{(Fl)?arrowverse},f,{},CW Arrowverse
Prometheus,{CW},f,{},CW Arrowverse
Prometheus,{PC},f,{1663},Post-Crisis
Prometheus,"{`"Post(-| )?C(risis)?`"}",f,{1663},Post-Crisis
Prometheus,"{`"New(-| )Earth`"}",f,{1663},Post-Crisis
Rao,"{`"New(-| )?52`"}",f,{1664},New 52
Rao,{N-?52},f,{1664},New 52
Rao,"{`"Post(-| )52`"}",f,{1664},New 52
Rao,"{`"Prime(-| )Earth`"}",f,{1664},New 52
Rao,{Rebirth},f,{1664},New 52
Weapons Master,"{`"Weapons Master (PC)`"}",f,{1902},DC
Weapons Master,"{`"Weapons Master (Post(-| )?C(risis)?)`"}",f,{1902},DC
Weapons Master,"{`"Weapons Master (New(-| )Earth)`"}",f,{1902},DC
Weapons Master,"{`"Weapons Master (DC`"}",f,{1902},DC
Coldcast,{PC},t,{1667},Post-Crisis
Coldcast,"{`"Post(-| )?C(risis)?`"}",t,{1667},Post-Crisis
Coldcast,"{`"New(-| )Earth`"}",t,{1667},Post-Crisis
Coldcast,{Elite},t,{1667},Post-Crisis
Major Disaster,{PC},f,{1668},DC
Major Disaster,"{`"Post(-| )?C(risis)?`"}",f,{1668},DC
Major Disaster,"{`"New(-| )Earth`"}",f,{1668},DC
Major Disaster,{Elite},f,{1668},DC
Manitou Raven,{PC},t,{1669},DC
Manitou Raven,"{`"Post(-| )?C(risis)?`"}",t,{1669},DC
Manitou Raven,"{`"New(-| )Earth`"}",t,{1669},DC
Manitou Raven,{Elite},t,{1669},DC
Vera Lynn Black,{PC},t,{1670},DC
Vera Lynn Black,"{`"Post(-| )?C(risis)?`"}",t,{1670},DC
Vera Lynn Black,"{`"New(-| )Earth`"}",t,{1670},DC
Vera Lynn Black,{Elite},t,{1670},DC
Killer Croc,{Arkhamverse},f,"{5533,6381}",Batman: Arkham
Shirai Kuroko,{Index(verse)?},t,{10797},Toaru Majutsu no Index
Killer Croc,{PC},f,"{1671,6381}",PC
Killer Croc,"{`"Pre(-| )?Crisis`"}",f,"{1671,6381}",PC
Killer Croc,"{`"Post(-| )?C(risis)?`"}",f,"{1671,6381}",PC
Killer Croc,"{`"New(-| )Earth`"}",f,"{1671,6381}",PC
Killer Croc,"{`"New(-| )?52`"}",f,"{1672,6381}",New 52
Killer Croc,{N-?52},f,"{1672,6381}",New 52
Killer Croc,"{`"Post(-| )52`"}",f,"{1672,6381}",New 52
Killer Croc,"{`"Prime(-| )Earth`"}",f,"{1673,6381}",Rebirth
